Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"AsyncPeriodicWork.java",157,,"0.57"
File,"AsynchPeopleTest.java",30,,"0.87"
File,"AsynchronousAdministrativeMonitor.java",89,,"0.44"
File,"AsynchronousExecution.java",52,,"1.56"
File,"AtmostOneTaskExecutor.java",66,,"0.71"
File,"AtmostOneTaskExecutorTest.java",39,,"0.15"
File,"AtomicFileWriter.java",151,,"0.58"
File,"AtomicFileWriterPerfTest.java",19,,"0.68"
File,"AtomicFileWriterTest.java",132,,"0.14"
File,"Authentication.java",76,,"0.37"
File,"AuthenticationException.java",61,,"0.48"
File,"AuthenticationExceptionTest.java",14,,"1.64"
File,"AuthenticationManager.java",23,,"1.13"
File,"AuthenticationManagerProxy.java",22,,"1.55"
File,"AuthenticationProcessingFilter2.java",52,,"0.85"
File,"AuthenticationProvider.java",8,,"3.25"
File,"AuthenticationServiceException.java",17,,"1.53"
File,"AuthenticationSpringImpl.java",50,,"0.46"
File,"AuthenticationSuccessHandler.java",23,,"1.26"
File,"AuthenticationTest.java",102,,"0.23"
File,"AuthorizationStrategy.java",93,,"1.42"
File,"AutoBrowserHolder.java",40,,"1.07"
File,"AutoCompletionCandidates.java",90,,"0.76"
File,"AutoCompletionCandidatesTest.java",44,,"0.09"
File,"BackgroundGlobalBuildDiscarder.java",44,,"0.68"
File,"BadCredentialsException.java",25,,"1.04"
File,"BallColor.java",76,,"1.03"
File,"BallColorTest.java",14,,"0.21"
File,"BaseParser.java",93,,"0.49"
File,"BasicApiTokenHelper.java",35,,"0.74"
File,"BasicAuthenticationFilter.java",94,,"0.78"
File,"BasicHeaderApiTokenAuthenticator.java",36,,"0.33"
File,"BasicHeaderApiTokenAuthenticatorTest.java",135,,"0.27"
File,"BasicHeaderAuthenticator.java",30,,"0.97"
File,"BasicHeaderProcessor.java",103,,"0.32"
File,"BasicHeaderProcessorTest.java",147,,"0.12"
File,"BasicHeaderRealPasswordAuthenticator.java",43,,"0.63"
File,"BasicTagWithObjectProperty.java",20,,"0.05"
File,"BatchCommandInstaller.java",31,,"0.90"
File,"BatchCommandInstallerTest.java",13,,"0.38"
File,"BatchFile.java",101,,"0.38"
File,"BatchFileTest.java",124,,"0.06"
File,"BeanUtilsTagLibrary.java",20,,"0.00"
File,"BehaviorTest.java",47,,"0.66"
File,"BenchmarkTest.java",32,,"0.34"
File,"BlockedBecauseOfBuildInProgress.java",22,,"1.45"
File,"BooleanParameterDefinition.java",89,,"0.40"
File,"BooleanParameterValue.java",52,,"0.58"
File,"BootFailure.java",65,,"0.32"
File,"BootFailureTest.java",141,,"0.13"
File,"Boundary.java",17,,"2.41"
File,"BridgeMethodsTest.java",27,,"0.19"
File,"Build.java",13,,"2.00"
File,"Build.java",105,,"0.84"
File,"BuildAuthorizationToken.java",68,,"0.50"
File,"BuildAuthorizationTokenTest.java",66,,"0.00"
File,"BuildBadgeAction.java",3,,"13.00"
